Name,Link,From,To,Position,Height,Weight,Birth Date,College
1997,N/A,2006,G,6-1,189,"January 28, 1974",Kentucky,N/A
2014,N/A,2023,G,6-3,200,"September 8, 1990",Saint Mary's,N/A
1989,N/A,1989,F,6-5,215,"January 24, 1966",Wyoming,N/A
1980,N/A,1982,F-C,6-9,225,"June 27, 1957",Arizona,N/A
1994,N/A,1997,G,6-3,205,"February 12, 1970",University of the Pacific,N/A
1955,N/A,1959,G,6-2,190,"July 19, 1929",King's College,N/A
2005,N/A,2019,F,6-9,237,"April 16, 1985",Duke,N/A
1982,N/A,1984,F,6-8,220,"October 18, 1958",Duke,N/A
1953,N/A,1953,G,6-2,175,"September 19, 1930",Lawrence Technological University,N/A
2024,N/A,2024,G,6-5,210,"February 9, 1999","Wichita State, Texas A&M",N/A
2025,N/A,2025,G,6-2,180,"March 30, 2001","Boise State, Toledo, Baylor",N/A
2012,N/A,2013,G,5-11,185,"September 5, 1985",Washington,N/A
1972,N/A,1977,C,6-10,240,"February 18, 1949",Duke,N/A
1975,N/A,1976,G,6-0,175,"March 11, 1952",Seattle University,N/A
2019,N/A,2019,F,6-7,249,"February 1, 1996",Georgetown,N/A
1967,N/A,1967,G,6-1,170,"May 13, 1945",University of Rochester,N/A
1956,N/A,1958,G,6-5,195,"December 21, 1931",George Washington,N/A
1974,N/A,1978,G,6-0,180,"January 15, 1951",Providence,N/A
2019,N/A,2025,G,6-4,203,"January 31, 1997",Villanova,N/A
2023,N/A,2025,F,6-11,210,"January 21, 2002",Michigan,N/A
2021,N/A,2024,F,6-9,228,"January 21, 1997",Virginia,N/A
2000,N/A,2004,G,6-4,184,"December 20, 1975",Eastern Michigan,N/A
2017,N/A,2022,F,6-8,219,"September 13, 1996",Kansas,N/A
2019,N/A,2024,G,6-5,202,"July 31, 1998",Kentucky,N/A
2004,N/A,2017,F-C,6-8,250,"April 16, 1982",,N/A
2007,N/A,2010,G-F,6-7,225,"August 29, 1982",Pepperdine,N/A
2008,N/A,2008,G,6-2,192,"March 4, 1985",Miami (FL),N/A
2024,N/A,2025,G,6-6,205,"November 20, 2003",Kansas,N/A
2003,N/A,2008,G,6-0,190,"September 16, 1978","Washington, Gonzaga",N/A
2004,N/A,2008,F,6-8,215,"July 21, 1978","Tyler Junior College, Idaho",N/A
1976,N/A,1977,G,6-4,190,"November 27, 1951",University of Charleston,N/A
1999,N/A,2003,G-F,6-5,190,"June 25, 1975",Arizona,N/A
1975,N/A,1975,G,6-3,185,"December 14, 1951","Cochise Community College, Boise State",N/A
1974,N/A,1978,F,6-7,218,"March 20, 1951",Cincinnati,N/A
1952,N/A,1952,G,6-1,175,"October 26, 1926",NC State,N/A
1968,N/A,1968,C,6-10,240,"November 18, 1945",Arkansas State University,N/A
2006,N/A,2010,G,6-1,175,"March 1, 1982",Marquette,N/A
2014,N/A,2023,C,6-10,252,"January 18, 1990",Louisville,N/A
2023,N/A,2025,F,6-10,222,"May 21, 2003",,N/A
1959,N/A,1971,C-F,6-9,222,"October 2, 1936",Cincinnati,N/A
1971,N/A,1983,C-F,6-10,220,"July 23, 1948",San Jose State,N/A
1968,N/A,1968,C,6-11,215,"December 17, 1944",Michigan,N/A
1976,N/A,1976,F,6-6,230,"March 9, 1949",Eastern Michigan,N/A
1982,N/A,1982,G,6-3,170,"October 15, 1958",Florida State,N/A
1947,N/A,1947,F,6-3,190,"July 2, 1917",Valparaiso,N/A
2025,N/A,2025,G,6-1,176,"January 4, 2005",Kentucky,N/A
1950,N/A,1950,F,6-3,180,"January 8, 1924",UNC,N/A
1990,N/A,1991,G,6-1,170,"June 15, 1967",UNC Charlotte,N/A
1972,N/A,1972,F,6-5,210,"January 22, 1950",Voorhees College,N/A
1968,N/A,1968,F-G,6-4,200,"October 9, 1940",Pepperdine,N/A
1968,N/A,1972,F,6-7,220,"July 15, 1943",New Mexico Highlands University,N/A
2015,N/A,2025,G,6-5,215,"April 6, 1993",Colorado,N/A
2006,N/A,2012,F,6-8,250,"September 11, 1983",Arizona State,N/A
2002,N/A,2013,C,7-0,300,"January 30, 1982",,N/A
1963,N/A,1973,F-G,6-7,189,"November 21, 1940",Purdue,N/A
1955,N/A,1955,G,6-3,210,"January 9, 1929",St. Bonaventure,N/A
1990,N/A,2005,C,7-1,243,"February 3, 1968",,N/A
2003,N/A,2009,G,6-3,164,"October 9, 1978",Maryland,N/A
1950,N/A,1950,F,6-5,175,"November 1, 1924",Truman State University,N/A
1999,N/A,2008,C,6-11,262,"June 15, 1977",Utah,N/A
1950,N/A,1951,G,6-0,175,"July 9, 1927",NYU,N/A
1947,N/A,1950,F-C,6-5,195,"August 10, 1919",Colorado,N/A
1981,N/A,1995,C,7-2,275,"August 16, 1957",Washington State,N/A
2019,N/A,2025,G-F,6-6,230,"February 28, 1999",,N/A
1951,N/A,1954,G-F,6-2,190,"October 11, 1926",Ohio State,N/A
1988,N/A,1988,G,5-11,171,"May 30, 1965",Providence,N/A
1950,N/A,1950,G,6-2,180,"September 10, 1926",Muhlenberg College,N/A
2001,N/A,2013,G,6-3,196,"May 8, 1980",Missouri,N/A
1997,N/A,1997,G,6-2,198,"August 26, 1967",,N/A
1978,N/A,1981,F,6-7,230,"December 18, 1954",Georgia,N/A
2009,N/A,2015,F,6-8,268,"December 16, 1983",Memphis,N/A
1972,N/A,1972,F,6-4,200,"October 10, 1948",Tennessee State,N/A
2018,N/A,2023,G,6-5,183,"February 18, 1996",Oregon,N/A
2020,N/A,2025,G,6-4,220,"April 19, 1999",Arizona State,N/A
2022,N/A,2025,G,6-5,200,"January 17, 2000",Illinois,N/A
2018,N/A,2022,G,6-5,210,"May 6, 1994","Oregon, Houston",N/A
2021,N/A,2023,G,6-2,185,"August 2, 1999",Kansas,N/A
2007,N/A,2009,G,6-3,175,"May 16, 1984",Rutgers University,N/A
1987,N/A,1987,G,6-3,195,"April 9, 1964",Illinois,N/A
1982,N/A,1983,G,6-2,170,"June 12, 1956",Kansas,N/A
1977,N/A,1983,C-F,6-10,230,"August 26, 1954",Alabama,N/A
1990,N/A,2001,G,6-0,180,"September 15, 1966",Syracuse,N/A
2010,N/A,2017,G,6-2,195,"March 16, 1986","Auburn, Florida State",N/A
2009,N/A,2015,G,6-7,200,"January 8, 1987",Memphis,N/A
2020,N/A,2022,F,6-8,230,"December 23, 2000",,N/A
1968,N/A,1972,F,6-7,198,"August 16, 1945",St. John's,N/A
1972,N/A,1972,G,5-7,155,"October 16, 1949",LeMoyne-Owen College,N/A
2011,N/A,2011,G,6-3,191,"September 10, 1984",Virginia Tech,N/A
1948,N/A,1948,C,6-6,210,"November 11, 1923",Marquette,N/A
1974,N/A,1975,C,6-8,225,"September 9, 1950",Indiana,N/A
2022,N/A,2025,G,6-3,185,"May 10, 1997",Rhode Island,N/A
1963,N/A,1963,F,6-8,200,"February 6, 1940",Belmont Abbey College,N/A
2018,N/A,2018,G,6-4,185,"October 31, 1993",Loyola Chicago,N/A
2018,N/A,2025,G,6-6,205,"October 25, 1996",South Carolina,N/A
1990,N/A,1990,F,6-9,210,"June 29, 1966",South Carolina,N/A
2009,N/A,2023,G,6-4,190,"May 6, 1986",,N/A
2015,N/A,2015,G-F,6-5,200,"June 22, 1989",,N/A
1987,N/A,1997,C,7-1,250,"November 7, 1962","Wichita State, Kansas",N/A
2024,N/A,2024,G,6-9,187,"April 25, 2000",,N/A
1999,N/A,2004,G,6-2,185,"September 21, 1974",Valparaiso,N/A
1975,N/A,1985,F-G,6-6,205,"September 30, 1954",Gardner-Webb University,N/A
1981,N/A,1991,G,6-1,170,"April 2, 1958",Missouri,N/A
2015,N/A,2018,G,6-2,180,"March 5, 1990","UNC, UCLA",N/A
1984,N/A,1998,G,6-7,210,"June 22, 1962",Houston,N/A
1997,N/A,1997,G,6-5,215,"October 12, 1973",University of Montevallo,N/A
1971,N/A,1975,F,6-7,215,"August 28, 1947",Boston College,N/A
2002,N/A,2005,C,6-11,270,"October 27, 1975",,N/A
1981,N/A,1981,C,7-2,250,"April 20, 1954",UCLA,N/A
2013,N/A,2025,C,6-11,279,"August 10, 1993",UConn,N/A
1975,N/A,1976,G,6-3,175,"March 31, 1952",Syracuse,N/A
2022,N/A,2025,G,6-6,190,"June 13, 1997",Oregon,N/A
2025,N/A,2025,G-F,6-6,222,"December 11, 2000",Saint Mary's University,N/A
1958,N/A,1958,G,6-1,185,"March 25, 1933",St. John's,N/A
1987,N/A,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University,N/A
1973,N/A,1979,G,6-2,180,"March 5, 1950",Washington,N/A
1988,N/A,2003,C,6-11,235,"February 22, 1965",Yale,N/A
2008,N/A,2021,F-G,6-6,237,"July 10, 1985",Boston College,N/A
1980,N/A,1983,G,6-2,180,"July 29, 1956",Detroit Mercy,N/A
1947,N/A,1947,F,6-4,175,"July 5, 1922",Tulane,N/A
1963,N/A,1965,G,6-3,185,"September 26, 1940",Colgate,N/A
2005,N/A,2013,G,6-1,185,"August 31, 1982",Duke,N/A
2016,N/A,2016,F,6-9,220,"December 4, 1991",Wisconsin,N/A
2022,N/A,2025,G,6-5,205,"October 13, 1999",Providence,N/A
1956,N/A,1963,C,7-0,220,"June 23, 1930",Seton Hall,N/A
1986,N/A,1999,G,6-3,190,"May 24, 1963",McNeese State University,N/A
1969,N/A,1969,G,6-3,170,"April 21, 1944",Northeastern State University,N/A
1993,N/A,1996,F,6-7,200,"May 19, 1969",Oklahoma State,N/A
1995,N/A,1998,G,6-6,190,"August 25, 1972",Missouri-Kansas City,N/A
1949,N/A,1951,F-C,6-6,195,"April 17, 1922",William & Mary,N/A
1998,N/A,2016,F-C,6-11,250,"April 25, 1976",Wake Forest,N/A
1977,N/A,1990,G,6-3,180,"March 21, 1954",South Carolina,N/A
2003,N/A,2017,F-G,6-9,230,"September 15, 1980",Duke,N/A
2017,N/A,2025,G,6-3,205,"March 18, 1994",Providence,N/A
1958,N/A,1958,G,6-2,170,"March 17, 1931",Utah State University,N/A
2025,N/A,2025,F,6-6,216,"January 7, 2003",Virginia,N/A
1978,N/A,1991,G-F,6-4,192,"February 1, 1955",Alabama,N/A
2004,N/A,2011,F,6-7,209,"January 26, 1981",LSU,N/A
2008,N/A,2025,F-G,6-11,240,"September 29, 1988",Texas,N/A
2023,N/A,2025,C,6-10,250,"November 18, 2003",Memphis,N/A
1981,N/A,1983,G,6-3,195,"October 30, 1958",Georgetown,N/A
1972,N/A,1972,F,6-5,188,"August 22, 1949",Duquesne,N/A
1993,N/A,1995,F,6-7,210,"March 10, 1967",Colorado State,N/A
1985,N/A,1986,F,6-7,200,"October 20, 1960",BYU,N/A
1972,N/A,1975,F,6-7,190,"December 8, 1948",La Salle,N/A
2019,N/A,2019,G,6-2,189,"August 3, 1998",Duke,N/A
1949,N/A,1949,F-G,6-4,200,"May 3, 1921",Loyola Chicago,N/A
1982,N/A,1982,F,6-8,190,"June 11, 1959",Cal State Long Beach,N/A
1954,N/A,1954,F,6-6,225,"February 17, 1930",DePaul,N/A
2012,N/A,2012,G,6-3,180,"May 1, 1987",UConn,N/A
1989,N/A,1998,G-F,6-5,220,"November 24, 1966",New Orleans,N/A
1969,N/A,1978,C,6-11,215,"May 24, 1946",BYU,N/A
1994,N/A,1997,F-C,6-10,240,"June 23, 1970",Iowa,N/A
1954,N/A,1954,F,6-3,190,"April 28, 1927",Loyola Chicago,N/A
2015,N/A,2016,F,6-8,210,"April 17, 1991",Wichita State,N/A
1969,N/A,1969,G,5-3,114,"May 30, 1943",,N/A
2023,N/A,2025,F,6-8,216,"May 10, 2001","Cincinnati, LSU",N/A
1983,N/A,1993,C,7-4,275,"January 24, 1957","Cypress College, UCLA",N/A
1983,N/A,1987,G,6-4,180,"February 8, 1959",Louisville,N/A
2011,N/A,2013,F,6-9,215,"October 28, 1989",West Virginia,N/A
1958,N/A,1958,G,6-4,190,"October 7, 1935",Detroit Mercy,N/A
1975,N/A,1978,F,6-6,225,"May 10, 1952",Missouri,N/A
2004,N/A,2005,F,6-9,200,"June 18, 1984",,N/A
1974,N/A,1974,C,6-9,220,"August 31, 1951",Louisiana,N/A
2022,N/A,2022,C,6-11,258,"April 27, 1997","Trinity Valley CC, Wichita State",N/A
2016,N/A,2018,G-F,6-7,218,"October 30, 1991",Virginia Tech,N/A
1992,N/A,1992,C,6-11,240,"December 27, 1967","Arkansas State University, Ole Miss",N/A
1950,N/A,1953,F-G,6-3,189,"December 27, 1922",Illinois,N/A
1985,N/A,1985,F,6-8,205,"May 24, 1962",Virginia,N/A
2025,N/A,2025,C,7-4,305,"May 14, 2002",Purdue,N/A
1974,N/A,1975,F,6-6,210,"February 23, 1950",LeMoyne-Owen College,N/A
1968,N/A,1970,F,6-6,220,"March 8, 1941",Tennessee State,N/A
1983,N/A,1984,G,6-5,195,"September 28, 1960",Purdue,N/A
1996,N/A,2001,G,5-10,152,"February 14, 1973",UCLA,N/A
2021,N/A,2025,G-F,6-4,225,"August 5, 2001",Georgia,N/A
1994,N/A,1994,F,6-8,215,"September 22, 1971",Wright State University,N/A
1990,N/A,1999,G-F,6-4,200,"October 31, 1965",East Carolina University,N/A
2020,N/A,2022,G,5-11,200,"March 12, 1998",Purdue,N/A
2005,N/A,2005,F,6-9,275,"March 5, 1979",Central Connecticut State University,N/A
1994,N/A,1996,F,6-7,220,"January 21, 1971",Florida State,N/A
1982,N/A,1988,G,6-1,170,"February 2, 1959",Cleveland State University,N/A
1978,N/A,1996,C-F,7-0,225,"November 22, 1955",Washington,N/A
1990,N/A,1990,G,6-4,185,"January 3, 1969",Indiana,N/A
2005,N/A,2006,C,7-0,275,"July 31, 1981",Kent State University,N/A
2025,N/A,2025,G,6-6,203,"December 16, 2003",Kentucky,N/A
2022,N/A,2025,F,6-8,215,"August 9, 2000",Pepperdine,N/A
1989,N/A,2001,G,6-3,190,"October 30, 1965",DePaul,N/A
2022,N/A,2022,G,6-5,205,"January 20, 1997","Cleveland State University, Arizona State",N/A
2014,N/A,2014,F,6-7,220,"May 31, 1987",Little Rock,N/A
2019,N/A,2019,F,6-8,225,"April 5, 1996",Purdue,N/A
1962,N/A,1972,G,5-11,180,"January 31, 1939",Providence,N/A
1949,N/A,1949,G,6-0,170,"June 8, 1918",Oklahoma State,N/A
1948,N/A,1949,F-G,6-3,198,"March 10, 1923",Purdue,N/A
1984,N/A,1997,G-F,6-6,180,"August 11, 1961","Odessa College, Washington State",N/A
1962,N/A,1962,G,6-3,200,"October 21, 1933",SE Missouri State,N/A
1995,N/A,2006,G,6-2,177,"December 4, 1972",Boston College,N/A
2000,N/A,2005,F-C,6-9,270,"August 22, 1975",Maryland,N/A
2001,N/A,2001,G,5-10,200,"April 25, 1979",UConn,N/A
1947,N/A,1947,F,6-2,210,"July 24, 1918",Hamline University,N/A
1991,N/A,2001,G-F,6-5,210,"November 26, 1963",American International College,N/A
2021,N/A,2022,F,6-6,200,"June 16, 2000",Washington State,N/A
1949,N/A,1951,C,6-8,230,"November 18, 1922",West Texas A&M University,N/A
2017,N/A,2021,F,6-10,240,"January 13, 1997",Marquette,N/A
2010,N/A,2022,G,6-4,207,"November 29, 1987",UNC,N/A
1979,N/A,1981,C-F,6-9,225,"August 18, 1955",Arizona,N/A
1990,N/A,2001,F,6-8,205,"February 2, 1968",Arizona,N/A
1978,N/A,1980,F,6-9,197,"August 8, 1954",Marquette,N/A
1959,N/A,1960,F,6-5,185,"February 11, 1936",Niagara University,N/A
1984,N/A,2000,G-F,6-7,205,"August 6, 1960",Tennessee,N/A
1994,N/A,1998,G,6-5,200,"October 7, 1970",Morehouse College,N/A
1967,N/A,1974,F-G,6-6,175,"May 3, 1944",San Francisco,N/A
2023,N/A,2025,G,6-6,175,"January 8, 2000","Florida SouthWestern State College, Alabama",N/A
1993,N/A,2003,F,6-8,240,"May 5, 1970",Notre Dame,N/A
1992,N/A,1996,F-C,6-9,225,"April 28, 1969","Kentucky, Syracuse",N/A
1963,N/A,1976,C-F,6-10,210,"March 10, 1940",St. John's,N/A
2006,N/A,2017,G,6-3,185,"October 26, 1985",,N/A
1990,N/A,2001,F-C,6-9,210,"April 3, 1967",Louisville,N/A
1975,N/A,1984,C-F,6-9,220,"March 28, 1952",Maryland,N/A
2004,N/A,2012,C,7-0,235,"February 28, 1976",California,N/A
1975,N/A,1977,G,6-4,190,"August 15, 1952",UNC,N/A
2003,N/A,2014,C,6-10,260,"May 2, 1978",Fresno State,N/A
2017,N/A,2025,C,7-0,280,"March 16, 1994",Kansas,N/A
1959,N/A,1969,C-F,6-8,240,"March 26, 1937",Miami University,N/A
2005,N/A,2012,F,6-5,230,"August 27, 1982",Texas Tech,N/A
1947,N/A,1947,F-G,6-2,200,"March 2, 1918",University of Akron,N/A
1989,N/A,1989,F,6-8,245,"December 6, 1965","University of California, Irvine",N/A
1983,N/A,1988,C,6-11,245,"March 1, 1959","Minnesota, Wyoming",N/A
1991,N/A,1992,G,6-3,175,"July 11, 1967",Virginia Union University,N/A
1977,N/A,1991,F,6-8,190,"January 5, 1954",South Carolina,N/A
1971,N/A,1971,F,6-4,185,"December 26, 1946",Rhode Island,N/A
1993,N/A,1995,G,6-4,195,"February 4, 1970",South Carolina,N/A
2013,N/A,2013,G,6-6,200,"September 24, 1988",Missouri,N/A
1973,N/A,1975,F,6-6,205,"October 20, 1950",Texas-El Paso,N/A
1950,N/A,1950,F-C,6-5,205,"October 21, 1917",Wisconsin,N/A
2015,N/A,2022,F,6-6,215,"July 1, 1990",Cal State Long Beach,N/A
2015,N/A,2018,G,6-3,194,"August 24, 1994",Syracuse,N/A
1979,N/A,1979,F,6-6,195,"August 20, 1956",Norfolk State,N/A
2011,N/A,2012,C,7-0,240,"July 28, 1986",,N/A
1958,N/A,1958,F,6-3,220,"July 30, 1932",Niagara University,N/A
1966,N/A,1977,F-G,6-5,195,"April 19, 1944",UCLA,N/A
1972,N/A,1987,F-G,6-7,210,"February 22, 1950",UMass,N/A
2000,N/A,2003,C,6-11,255,"May 30, 1975",Northwestern,N/A
1949,N/A,1949,C-F,6-5,200,"January 21, 1924",Kansas,N/A
1996,N/A,1996,G,6-3,198,"March 1, 1969",,N/A
2019,N/A,2025,F,6-9,245,"February 1, 1997",Oregon State,N/A
1970,N/A,1970,G,6-0,170,"March 3, 1947",Boston College,N/A
1950,N/A,1950,G,6-2,175,"May 31, 1925",Butler,N/A
1997,N/A,1999,F,6-8,220,"September 13, 1973",Indiana,N/A
1980,N/A,1980,F,6-8,202,"November 11, 1955","USC, UNLV",N/A
2019,N/A,2020,G-F,6-4,210,"June 18, 1997",Cincinnati,N/A
2018,N/A,2019,G,6-0,185,"July 26, 1996",Oklahoma State,N/A
2011,N/A,2018,F,6-9,200,"October 24, 1987",Western Kentucky,N/A
2002,N/A,2012,G,6-5,220,"November 8, 1978","Wichita State, Texas",N/A
1980,N/A,1988,G,6-1,170,"April 19, 1955",Kansas State,N/A
2003,N/A,2015,F,6-8,245,"May 18, 1980",Iowa,N/A
2010,N/A,2019,G-F,6-6,220,"September 19, 1989",Memphis,N/A
2024,N/A,2025,F,6-8,219,"February 16, 2001",Princeton,N/A
2006,N/A,2007,G,6-3,185,"March 26, 1983",Duke,N/A
1986,N/A,2002,C-F,7-0,240,"August 5, 1962",Georgetown,N/A
2011,N/A,2011,F,6-8,235,"May 20, 1984","Indiana, Georgetown",N/A
2015,N/A,2024,G,6-5,214,"July 13, 1995",,N/A
2011,N/A,2012,F,6-5,210,"June 22, 1989",,N/A
2013,N/A,2016,C,6-11,255,"October 21, 1989",Vanderbilt,N/A
1948,N/A,1950,F-G,6-3,175,"March 21, 1922",Rhode Island,N/A
1947,N/A,1947,F-G,6-1,190,"May 15, 1917",Pitt,N/A
1966,N/A,1970,F,6-8,205,"April 28, 1943","Palomar College, BYU",N/A
2020,N/A,2022,C,7-6,311,"December 10, 1995",Central Florida,N/A
1949,N/A,1949,F,6-1,185,"April 3, 1924",City College of New York,N/A
2012,N/A,2019,F-C,6-8,220,"November 19, 1989",Morehead State University,N/A
1955,N/A,1959,G-F,6-4,190,"April 13, 1932",Indiana,N/A
2007,N/A,2017,G,6-2,180,"November 30, 1986",UCLA,N/A
2007,N/A,2009,G,6-5,220,"October 7, 1981",USC,N/A
1988,N/A,1994,G,6-4,190,"September 23, 1964",Alabama,N/A
1959,N/A,1966,F,6-7,210,"September 26, 1936",San Francisco,N/A
1998,N/A,2000,F,6-9,244,"January 3, 1970","San Jose State, Nebraska",N/A
1947,N/A,1947,F,6-5,185,"September 2, 1921",Notre Dame,N/A
2014,N/A,2014,C,6-11,260,"May 5, 1988",,N/A
2011,N/A,2022,F-C,6-9,265,"July 15, 1991",Georgia Tech,N/A
2008,N/A,2008,F,6-11,235,"June 17, 1985",Nevada,N/A
1963,N/A,1963,F,6-6,190,"December 10, 1940",Florida State,N/A
1947,N/A,1950,F-G,6-3,190,"January 2, 1920",Santa Clara,N/A
1977,N/A,1977,G,6-4,185,"May 19, 1954",Vanderbilt,N/A
1997,N/A,2001,C,6-9,255,"July 3, 1974",Michigan State,N/A
1956,N/A,1956,G,6-3,185,"August 6, 1931",DePaul,N/A
1950,N/A,1953,G,6-1,185,"July 2, 1928",Kentucky,N/A
1987,N/A,1992,C,6-11,235,"June 8, 1962",Texas-El Paso,N/A
2017,N/A,2018,G,5-9,176,"March 29, 1995",Oakland,N/A
2016,N/A,2021,F-C,6-11,270,"July 7, 1992",,N/A
2014,N/A,2014,G,6-6,201,"August 17, 1990",Arizona State,N/A
2006,N/A,2006,F,6-9,225,"October 4, 1981",Fresno State,N/A
1954,N/A,1962,C,6-11,220,"December 10, 1930",Long Island University,N/A
2006,N/A,2019,G,6-1,205,"June 26, 1984",UNC,N/A
1952,N/A,1953,G,6-0,180,"June 12, 1929",Northwestern,N/A
1947,N/A,1947,F,6-3,190,"February 8, 1922",Manhattan University,N/A
2004,N/A,2004,G-F,6-7,203,"July 22, 1977","Missouri, Detroit Mercy",N/A
2018,N/A,2021,G-F,6-6,190,"May 17, 1998",,N/A
2009,N/A,2012,G,6-6,185,"April 4, 1985",,N/A
2020,N/A,2025,F,6-9,240,"August 15, 1998",Maryland,N/A
1976,N/A,1984,C-F,6-10,205,"November 1, 1953",San Francisco,N/A
1956,N/A,1963,G-F,6-4,190,"July 6, 1933",Michigan State,N/A
1989,N/A,1989,C,7-1,240,"May 24, 1964",Houston,N/A
1989,N/A,1999,F-G,6-7,209,"February 28, 1965",Georgia Tech,N/A
2017,N/A,2021,G,6-0,178,"May 9, 1993",Indiana,N/A
1949,N/A,1951,F-G,6-2,180,"July 29, 1925",Utah,N/A
1960,N/A,1969,C-F,6-8,230,"May 31, 1937",Saint Louis,N/A
1991,N/A,2003,F,6-10,230,"October 17, 1966",Duke,N/A
2008,N/A,2012,C,7-1,288,"December 24, 1986",,N/A
1972,N/A,1972,G,6-3,175,"October 20, 1949","Brandywine Junior College, La Salle",N/A
1985,N/A,1988,F-G,6-5,220,"February 9, 1962",UCLA,N/A
2011,N/A,2015,F,6-7,210,"June 27, 1988",Stanford,N/A
1968,N/A,1968,F,6-5,205,"February 5, 1944",Tennessee Technological University,N/A
2025,N/A,2025,F-C,6-11,250,"November 7, 2003",Duke,N/A
1971,N/A,1972,C,7-1,240,"March 7, 1947",Cheyney (PA),N/A
1974,N/A,1975,G,6-2,185,"February 16, 1951",Memphis,N/A
1967,N/A,1975,C,7-0,240,"April 20, 1942",Dayton,N/A
1996,N/A,2010,G-F,6-7,215,"March 6, 1973",Wisconsin,N/A
1953,N/A,1955,G,6-1,185,"May 29, 1928",St. John's,N/A
2017,N/A,2025,F,6-7,220,"May 4, 1993",Florida,N/A
1995,N/A,1997,C,6-11,235,"November 18, 1969",UNC Wilmington,N/A
1997,N/A,2014,G,6-1,200,"August 9, 1974",Little Rock,N/A
1972,N/A,1972,F,6-5,215,"October 27, 1948","Trinidad State Junior College, Colorado State",N/A
2006,N/A,2006,G,6-3,188,"August 12, 1982",Kentucky,N/A
2021,N/A,2022,F,6-8,230,"July 4, 1997","South Florida, Saint Mary's",N/A
1947,N/A,1949,F-C,6-5,190,"March 14, 1923",Seton Hall,N/A
1947,N/A,1948,F,6-2,175,"November 18, 1920",Fordham,N/A
2001,N/A,2006,F,6-9,262,"August 10, 1978",Iowa State,N/A
2024,N/A,2025,G,6-3,195,"December 1, 1999","Presbyterian College, Baylor",N/A
1947,N/A,1953,G-F,6-2,190,"February 14, 1922",NYU,N/A
1978,N/A,1978,F,6-7,215,"April 5, 1954",Arizona,N/A
1956,N/A,1960,G-F,6-3,189,"July 25, 1933",Niagara University,N/A
1985,N/A,1996,G,6-5,185,"February 4, 1962",Georgia,N/A
2005,N/A,2005,G,6-2,200,"April 11, 1981","Rutgers University, Manhattan University",N/A
1983,N/A,1983,F,6-8,225,"June 13, 1957",Notre Dame,N/A
2025,N/A,2025,G-F,6-7,185,"March 8, 2005",,N/A
1983,N/A,1995,G,6-3,170,"March 6, 1960",Georgetown,N/A
2010,N/A,2012,G,6-0,185,"February 6, 1989",Syracuse,N/A
2021,N/A,2024,G,6-1,175,"May 10, 1998","Washington State, San Diego State",N/A
1976,N/A,1978,G,6-2,180,"July 31, 1953",Kentucky,N/A
1976,N/A,1976,G,6-5,205,"March 19, 1953",Canisius,N/A
1963,N/A,1963,F,6-3,170,"April 19, 1939",Holy Cross,N/A
2002,N/A,2002,G,6-4,210,"April 16, 1975",Washington State,N/A
1971,N/A,1971,G,6-4,190,"November 1, 1948",University of Maryland Eastern Shore,N/A
2023,N/A,2025,F,6-8,209,"December 9, 1995",,N/A
2012,N/A,2012,C,7-0,265,"July 14, 1987",Cornell,N/A
2017,N/A,2023,G,6-2,205,"July 23, 1993",Michigan State,N/A
2011,N/A,2012,F,6-7,220,"February 25, 1985","Virginia, UMass",N/A
2022,N/A,2022,F,6-8,220,"December 22, 1997",Wisconsin,N/A
1994,N/A,1995,G,6-1,190,"October 31, 1971",Mississippi Valley State University,N/A
2002,N/A,2004,F,6-9,275,"May 29, 1981",Houston,N/A
1973,N/A,1973,F,6-7,228,"January 26, 1950",Purdue,N/A
1973,N/A,1982,G-F,6-5,190,"January 11, 1949",Villanova,N/A
1976,N/A,1982,F,6-9,215,"December 31, 1952","New Mexico, UC Santa Barbara",N/A
1971,N/A,1972,G,6-3,180,"April 29, 1945",University of Maryland Eastern Shore,N/A
2024,N/A,2024,G,6-1,175,"May 26, 1998",Saint Mary's,N/A
1979,N/A,1985,G,6-2,175,"February 9, 1956",UNC,N/A
2006,N/A,2006,F,6-9,225,"January 9, 1982",Clemson,N/A
1996,N/A,1996,F,6-7,210,"August 26, 1972",University of Illinois at Chicago,N/A
2004,N/A,2012,G,6-0,165,"March 24, 1983",Texas,N/A
1949,N/A,1949,G,5-10,175,"January 17, 1926",NYU,N/A
1978,N/A,1979,C,6-10,235,"July 8, 1954",Grand Canyon University,N/A
2021,N/A,2024,G,6-4,210,"June 12, 1998",Florida State,N/A
2002,N/A,2003,G,6-4,194,"March 23, 1981",UNC,N/A
2012,N/A,2012,G,5-11,185,"May 23, 1988",Arkansas,N/A
1998,N/A,2007,F,6-7,260,"March 27, 1976",Cincinnati,N/A
1969,N/A,1977,F,6-5,210,"March 18, 1946",Miami University,N/A
1991,N/A,2003,F-C,6-11,240,"October 3, 1968","UCLA, Texas-El Paso",N/A
2000,N/A,2012,F-C,6-11,236,"January 16, 1977",Texas State University,N/A
1975,N/A,1976,G,6-1,175,"December 16, 1951",UConn,N/A
2023,N/A,2023,F,6-8,250,"January 16, 2003",,N/A
1984,N/A,1986,G,6-1,160,"October 10, 1960",UCLA,N/A
2002,N/A,2002,F,6-10,219,"April 1, 1981",,N/A
2013,N/A,2024,G-F,6-6,205,"October 29, 1992",,N/A
